RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
126;21.5;4.17;15.83;20;74.09;12.1;54.9;67;;B;H;H;B;H;H;H;H;H;-;B;-;H;H;-;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;-;A;-;A;A;-;B;B;B;B;-;B;H;H;H;H;H;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;-;A;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;B;B;A;A;A;B;A;B;B;H;H;H;A;B;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;B;B;A
127;18.92;4.08;14.17;18.25;67.08;16.33;72.17;88.5;;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;-;H;H;H;H;H;H;H;H;H;-;H;B;H;H;-;-;H;H;H;H;H;-;H;H;H;H;H;H;H;H;H;H;A;A;-;H;H;H;H;A;H;H;-;-;H;-;H;H;A;H;-;H;H;H;H;H;H;H;H;B;B;H;H;H;A;A;-;-;A;A;H;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;H;H;H;-;H;H;-;A;H;H;H;H;H;H;H;H;A;H;H;H;H;H;H;H;H;H;A;H;H;H;H;-;H;H;-;H;H;H;-;H;H;-;H;H;H;H;H;H;H;H;H;A;A;A;A;H;-;-;H;-;-;H;-;-;H;H;H;H;H;H;H;H;H;H;H;H;H;H
128;18.25;3.67;12.58;16.25;68.67;15;71.5;86.5;;B;B;B;B;B;B;B;-;B;B;B;B;-;-;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;-;A;A;-;-;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;-;B;B;A;B;B;B;-;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;H;A;A;H;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;B;A;A;-;A;A;A;A;A
129;18.67;2.83;11;13.83;70.17;10;60.92;70.92;;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
130;18.17;4.08;14.33;18.42;52.5;13.17;52.83;66;;B;B;B;B;-;B;B;H;B;B;B;B;B;B;B;H;H;H;H;H;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;B;B;B;A;A;A;A;A;A;A;H;A;A;A;A;A;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;H;-;H;H;H;B;B;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
131;16.17;3.33;9.17;12.5;47.83;11;43.33;54.33;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
132;19.33;4;14.08;18.08;54.67;9.5;48.75;58.25;;H;-;H;H;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;H;H;H;A;A;A;A;A;A;A;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A
133;24.17;4.92;21.83;26.75;85.17;11.5;86.42;97.92;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;H;H;H;H;H;A;A;A;A;A;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A
134;18.83;2.83;12.08;14.92;68.83;10.83;63.17;74;;B;B;B;B;B;B;B;H;B;B;B;B;A;-;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;B;-;H;-;B;-;-;B;-;-;B;B;B;B;B;B;B;-;A;A;A;A;A;B;B;A;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;-;B;-;H;A;A;A;A;A;H;A;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;-;A;H;H;A;-;-;A;A;A;A;-;-;-;-;-;H;A;A;A;A;A;-;-;A;A;-;-;A;-;-;H;A;-;A;A;A;A;H;-;A;H;A;-;-;B;A;-;B;A;A;A;A;A;A;A;A;A;-;H;H;H;A;A;-;A;H;-;A;H;A;A
135;16.17;3.08;9.25;12.33;45.08;7.5;37.92;45.42;;A;A;A;A;A;A;A;A;A;-;B;-;H;H;A;A;A;A;A;A;A;A;A;A;H;A;-;A;A;A;B;B;-;-;B;-;H;-;H;-;B;B;B;B;B;B;H;-;H;H;H;H;H;-;H;A;B;B;B;B;B;B;B;B;B;B;-;H;-;A;H;H;-;H;H;H;B;B;B;B;B;B;B;B;B;B;H;H;H;H;H;H;-;H;H;H;-;H;H;H;A;A;A;A;A;A;A;A;A;A;A;-;A;A;-;A;A;A;-;H;H;H;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;-;H;H;-;H;H;H;H;A;H;H;H;H;A;A;A;A;A;A;A;A;A;A;H;-;-;-;H;B;-;B;B;B;B;B;H;H;B;-;H
136;21.45;3.91;15.55;19.45;72.83;10.27;61.55;71.82;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;A;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;B;-
137;19;3.33;11;14.33;56;7.33;43.25;50.58;;B;B;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;H;H;A;H;H;B;B;B;B;B;H;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;-;A;A;-;A;A;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;B;A;A
138;17.25;3.25;10.58;13.83;67;13.58;59.17;72.75;;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
139;19.83;3;11.82;14.82;71.27;13.27;52.36;65.64;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;H;H;-;-;H;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;B
140;18.67;3.08;14.08;17.33;70.22;13.63;70.25;83.88;;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;-;-;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B
141;20.42;5;15.58;20.58;58.42;11.42;49.42;60.83;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;-;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;-;A;-;H;-;A;A;A;A;A;A;A;A;A;B;B;-;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;B;B;B;B;B
142;23.25;5.33;22.67;28;72.5;12.17;75.42;87.58;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;B;H;H;H;H;H;H;H;H;A;A;H;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A
143;17.25;3.25;12;15.25;59.33;11.67;50.5;62.17;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;H;H;-;H;A;A;H;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A
144;20.83;4.42;12.67;17.08;54.75;11;39.25;50.25;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;H;H;H;H;B;B;B;B;B;H;A;A;A;A;A;A;B;B;B;H;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B
145;17.55;3.55;11.18;14.73;64.83;14.5;58.75;73.25;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;H;B;B;B;B;B;B;B;B;A;A;A;A;A;A;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A
146;24.17;5.17;21.08;26.25;74.83;10.5;71.83;82.33;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B;-;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;-;A;A;A;A;A;A;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B
147;21.75;3.5;13.83;17.33;66.83;11.5;49.67;61.17;;A;A;A;A;B;B;B;H;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;A;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B
148;16.58;3.17;8.83;12;46.42;7.83;36.42;44.25;;A;A;A;A;A;A;A;A;A;B;B;B;H;B;A;A;A;A;A;A;A;A;A;A;A;-;-;A;H;A;A;-;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;H;H;B;B;B;B;B;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;A;A;A;A;A;B;B;B;B;A;H;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;H;H;H;H;-;-;H;-;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B
149;20.42;5.83;19.17;25;67.08;18.42;67.33;85.75;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;H;A;A;H;H;H;H;A;H;-;H;H;H;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;-;H;B;B;B;B;B;B;A;-;A;A;A;A;H;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;-;B;B;B;B;B;-;B;B;B;B;B;B;B;H;H;B;H;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;-;H;A;-;-;-;H;-;A;H;H;B;B;B;A;-;B;B;B;B;A;A;B;-;B;B;B;B;B;B;B;B;B;B;B;H;H;-;A;B
150;16.5;2.73;8.91;11.64;53.5;9.42;46.17;55.58;;A;A;A;H;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;H;H;H;H;H;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;A;B;B;B;B;A;A;A;B;A;A;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B
151;15;2.67;8.83;11.5;42.67;8.83;36.83;45.67;;H;H;H;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;B;B;B;B;A;A;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;B;B;B;B;B;B;B;H;H;B;B;B
152;19.42;2.58;12.67;15.25;78.18;10.27;68;78.27;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;A;A;B;B;B;B;B;B;A;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
153;19.17;2.58;13.08;15.67;73.92;9.82;63.55;73.36;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;-;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A
154;24.83;5.25;22;27.25;90.17;11.67;75.44;87.11;;B;B;B;B;-;B;B;H;B;B;B;B;H;B;B;H;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;-;A;A;A;A;-;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;-;A;A;H;H;A;A;A;A;A;A;A;A;A;A;H;A;-;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;-;B;H;B;H;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A
155;18;2.33;11.42;13.75;67.92;10.42;58.42;68.83;;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;H;H;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;-;H;H;-;H;H;-;B;B;B;B;A;A;A;A;H;H;H;H;H;H;H;-;H;H;H;B;B;B;B;B;B;B;-;B;H;-;H;H;H;A;H;H;H;H;H;H;H;H;H;-;B;B;H;H;H;H;-;H;H;A;A;A;A;A;-;H;H;-;-;H;B;B;B;H;H;H;A;A;A;A;A;A;A;B;H;H;-;-;B;B;B;H;H;H;H;H;H;H;-;H;H;H;H;H;H;H;B;B;B;H;A;A;A;A;A;A;H;H;H;H;H;H;B;B;H;A;H;-;H;H;H;H;H;H;H;H
156;20.42;3.83;15;18.83;65.75;13.25;55.75;69;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;-;A;A;A;A;A;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
157;22.92;5;18.33;23.33;63.5;12.08;48.25;60.33;;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;H;H;H;H;A;H;H;A;A;A;-;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;H;H;H;H;A;H;H;H;A;-;A;H;H;A;-;A;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;-;H;-;B;B;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;H;H;H;H;H;H;H;H;H;H;H;H;A;A;H;H;B;B;B;B;B;B;B;B;B;H;H;B;H;B;B;B;B;B;H;H;H;H;H;H;H;B;H;B;H;A;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;A;A;-
158;22.58;4.17;17.67;21.83;66.67;10.67;51.83;62.5;;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;B;B;B;B;B;B;H;H;H;H;H;H;H;B;B;A;A;A;B;A;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;H;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B
